POSTCODE,POSTCODE2,POSTCODE_PCDS,LAT,LONG,LEP1,LEP2,COUNTY_CODE,COUNTY_DIST_CODE,WARD_CODE
DL104AA,DL10 4AA,DL10 4AA,54.406898,-1.735670,E37000039,,E10000023,E07000166,E05006292
DL104AB,DL10 4AB,DL10 4AB,54.406364,-1.734835,E37000039,,E10000023,E07000166,E05006292
DL104AD,DL10 4AD,DL10 4AD,54.404175,-1.736544,E37000039,,E10000023,E07000166,E05006292
DL104AE,DL10 4AE,DL10 4AE,54.404894,-1.736509,E37000039,,E10000023,E07000166,E05006292
DL104AF,DL10 4AF,DL10 4AF,54.404665,-1.742795,E37000039,,E10000023,E07000166,E05006294
DL104AG,DL10 4AG,DL10 4AG,54.405378,-1.736043,E37000039,,E10000023,E07000166,E05006292
DL104AH,DL10 4AH,DL10 4AH,54.405237,-1.736938,E37000039,,E10000023,E07000166,E05006292
DL104AJ,DL10 4AJ,DL10 4AJ,54.405703,-1.736611,E37000039,,E10000023,E07000166,E05006292
DL104AL,DL10 4AL,DL10 4AL,54.406403,-1.735898,E37000039,,E10000023,E07000166,E05006292
DL104AN,DL10 4AN,DL10 4AN,54.405799,-1.735255,E37000039,,E10000023,E07000166,E05006292
DL104AP,DL10 4AP,DL10 4AP,54.405868,-1.741987,E37000039,,E10000023,E07000166,E05006294
DL104AQ,DL10 4AQ,DL10 4AQ,54.405567,-1.735934,E37000039,,E10000023,E07000166,E05006292
DL104AR,DL10 4AR,DL10 4AR,54.405608,-1.742404,E37000039,,E10000023,E07000166,E05006294
DL104AS,DL10 4AS,DL10 4AS,54.404484,-1.742057,E37000039,,E10000023,E07000166,E05006294
DL104AT,DL10 4AT,DL10 4AT,54.404158,-1.741181,E37000039,,E10000023,E07000166,E05006294
DL104AU,DL10 4AU,DL10 4AU,54.405101,-1.744401,E37000039,,E10000023,E07000166,E05006294
DL104AW,DL10 4AW,DL10 4AW,54.405369,-1.736013,E37000039,,E10000023,E07000166,E05006292
DL104AX,DL10 4AX,DL10 4AX,54.406830,-1.738037,E37000039,,E10000023,E07000166,E05006294
DL104AY,DL10 4AY,DL10 4AY,54.406656,-1.740355,E37000039,,E10000023,E07000166,E05006294
DL104AZ,DL10 4AZ,DL10 4AZ,54.407132,-1.740885,E37000039,,E10000023,E07000166,E05006294
DL104BA,DL10 4BA,DL10 4BA,54.407733,-1.740096,E37000039,,E10000023,E07000166,E05006294
DL104BB,DL10 4BB,DL10 4BB,54.406363,-1.741713,E37000039,,E10000023,E07000166,E05006294
DL104BD,DL10 4BD,DL10 4BD,54.405989,-1.744235,E37000039,,E10000023,E07000166,E05006294
DL104BE,DL10 4BE,DL10 4BE,54.406896,-1.743721,E37000039,,E10000023,E07000166,E05006294
DL104BG,DL10 4BG,DL10 4BG,54.407561,-1.743994,E37000039,,E10000023,E07000166,E05006294
DL104BH,DL10 4BH,DL10 4BH,54.406071,-1.744743,E37000039,,E10000023,E07000166,E05006294
DL104BJ,DL10 4BJ,DL10 4BJ,54.407632,-1.747429,E37000039,,E10000023,E07000166,E05006294
DL104BL,DL10 4BL,DL10 4BL,54.408125,-1.746933,E37000039,,E10000023,E07000166,E05006294
DL104BN,DL10 4BN,DL10 4BN,54.408664,-1.747053,E37000039,,E10000023,E07000166,E05006294
DL104BP,DL10 4BP,DL10 4BP,54.408391,-1.745299,E37000039,,E10000023,E07000166,E05006294
