,name,crn,address1,address2,postTown,county,country,postcode,category,status,origin,accounts_lastMadeUpDate,accountCategory,returns_lastMadeUpDate,sic1,sic2,sic3,sic4,POSTCODE,POSTCODE2,POSTCODE_PCDS,LAT,LONG,LEP1,LEP2,COUNTY_CODE,COUNTY_DIST_CODE,WARD_CODE,website
0,"""STREONSHALH"" WHITBY LIMITED",01636551,"""STREONSHALH""",KHYBER PASS,WHITBY,NORTH YORKSHIRE,,YO21 3DQ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,31/03/2017,,22/05/2016,98000 - Residents property management,,,,YO213DQ,YO21 3DQ,YO21 3DQ,54.488915000000006,-0.615535,E37000039,,E10000023,E07000168,E05006340,http://www.streonshalh.co.uk/
1,'OUT OF THIS WOLD' LTD,10553612,MILLHOLME FARM HOUSE,SPEETON STREET,FILEY,,UNITED KINGDOM,YO14 9TG,Private Limited Company,Active,United Kingdom,,NO ACCOUNTS FILED,,41100 - Development of building projects,,,,YO149TG,YO14 9TG,YO14 9TG,54.155893000000006,-0.239788,E37000039,,E10000023,E07000168,E05006327,Website not found
2,CLIFF TOP LTD,04623454,"MILLHOLME FARM HOUSE, SPEETON",FILEY,YORKSHIRE,,,YO14 9TG,Private Limited Company,Active,United Kingdom,31/03/2016,TOTAL EXEMPTION SMALL,20/12/2015,71121 - Engineering design activities for industrial process and production,,,,YO149TG,YO14 9TG,YO14 9TG,54.155893000000006,-0.239788,E37000039,,E10000023,E07000168,E05006327,Website not found
3,01722212 LIMITED,01722212,HILL VIEW HOUSE,"CORNBOROUGH ROAD, SHERIFF HUTTON",YORK,NORTH YORKSHIRE,,YO60 6QJ,Private Limited Company,Active,United Kingdom,31/08/2002,TOTAL EXEMPTION FULL,05/09/2002,2922 - Manufacture of lift & handling equipment,7020 - Letting of own property,,,YO606QJ,YO60 6QJ,YO60 6QJ,54.09105400000001,-1.009659,E37000039,,E10000023,E07000167,E05006313,Website not found
4,WORLD WIDE SHOPPING MALL LIMITED,03307834,HILL VIEW HOUSE,"CORNBOROUGH ROAD, SHERIFF HUTTON",YORK,NORTH YORKSHIRE,,YO60 6QJ,Private Limited Company,Active,United Kingdom,31/12/2016,UNAUDITED ABRIDGED,31/12/2015,47910 - Retail sale via mail order houses or via Internet,,,,YO606QJ,YO60 6QJ,YO60 6QJ,54.09105400000001,-1.009659,E37000039,,E10000023,E07000167,E05006313,Website not found
5,01AA LIMITED,10017240,THE ROYAL HUNTING LODGE SHIPTON BY BENINGBROUGH,SHIPTON BY BENINGBROUGH,YORK,NORTH YORKS,UNITED KINGDOM,YO30 1BD,Private Limited Company,Active,United Kingdom,28/02/2017,DORMANT,,79909 - Other reservation service activities n.e.c.,,,,YO301BD,YO30 1BD,YO30 1BD,54.051809999999996,-1.16675,E37000039,,E10000023,E07000164,E05009677,Website not found
6,1 VOYAGE LIMITED,04683525,6 FEVERSHAM ROAD,,HELMSLEY,NORTH YORKSHIRE,,YO62 5HN,Private Limited Company,Active,United Kingdom,31/08/2016,,03/03/2016,68209 - Other letting and operating of own or leased real estate,,,,YO625HN,YO62 5HN,YO62 5HN,54.25001700000001,-1.058227,E37000039,,E10000023,E07000167,E05006302,Website not found
7,INSITE TRAINING & RESPONSE SOLUTIONS LIMITED,09132004,6 FEVERSHAM ROAD,,HELMSLEY,NORTH YORKSHIRE,,YO62 5HN,Private Limited Company,Active,United Kingdom,31/07/2016,,15/07/2015,82990 - Other business support service activities n.e.c.,,,,YO625HN,YO62 5HN,YO62 5HN,54.25001700000001,-1.058227,E37000039,,E10000023,E07000167,E05006302,Website not found
8,1-4 MUSEUM TERRACE (SCARBOROUGH) MANAGEMENT COMPANY LIMITED,06759604,62-63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,30/11/2017,,27/11/2015,99999 - Dormant Company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
9,15 ABERDEEN STREET FREEHOLD MANAGEMENT LIMITED,06629449,62 - 63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/08/2017,,25/06/2016,99999 - Dormant Company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
