,name,postcode,website,website_2,name_stripped
3029309,R.B.W. DEVELOPMENTS LTD.,TQ14 8DP,Website not found,Website not found,R.B.W. DEVELOPMENTS
2670409,NOUVEAU'RA APPAREL LIMITED,UB4 0RA,Website not found,Website not found,NOUVEAU'RA APPAREL
2475224,MIMI PARIS HOPPE LIMITED,RG27 9NN,Website not found,Website not found,MIMI PARIS HOPPE
3008042,QUATRO HQ LIMITED,NG18 4FY,Website not found,Website not found,QUATRO HQ
965152,CW 10 PARK DRIVE LIMITED,E14 5AB,Website not found,Website not found,CW 10 PARK DRIVE
2269669,LRW SUPPLIES LIMITED,LS12 3SS,Website not found,Website not found,LRW SUPPLIES
2968399,PROLOGUE MEDIA LIMITED,RG29 1PD,Website not found,Website not found,PROLOGUE MEDIA
976549,D J PALFREY SERVICES LTD,RM7 8AU,Website not found,Website not found,D J PALFREY SERVICES
3036941,RADIANT CLINICS LIMITED,L40 0SD,http://www.radiantskinclinic.co.uk/,http://www.radiantliving.co.uk/,RADIANT CLINICS
977514,D M D BUILDING & ROOFING SERVICES LTD,NR2 4TW,Website not found,Website not found,D M D BUILDING & ROOFING SERVICES
472531,BERKUT IMPEX LP,ML11 0QW,Website not found,Website not found,BERKUT IMPEX
1884158,IT PROJECTIONS LIMITED,LS3 1BQ,Website not found,Website not found,IT PROJECTIONS
839892,CNK CONSULTANCY LIMITED,KT3 6DQ,Website not found,Website not found,CNK CONSULTANCY
420351,BARKLEY ADVISORY LIMITED,SG4 0TW,Website not found,Website not found,BARKLEY ADVISORY
621585,BUILDVALE LIMITED,FK6 6QY,http://www.buildvale.co.uk/,http://www.buildvale.co.uk/,BUILDVALE
1696836,HENNIE PENNY'S CHICKEN (CLECKHEATON) LIMITED,BD19 3TT,http://www.henniepennyschicken.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google%20places,http://www.henniepennyschicken.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google%20places,HENNIE PENNY'S CHICKEN (CLECKHEATON)
2481191,MIR POINT LIMITED,SE2 9PJ,Website not found,Website not found,MIR POINT
3628014,TEH INTERNETS LIMITED,IV2 5GJ,Website not found,Website not found,TEH INTERNETS
3361946,SINA UZ LTD,M4 6AG,Website not found,Website not found,SINA UZ
2169399,LEAMORE HOLDINGS LIMITED,WS2 7QZ,Website not found,Website not found,LEAMORE HOLDINGS
743458,CFHX LIMITED,LE15 6QQ,Website not found,Website not found,CFHX
1995280,JOYINFOTECH LIMITED,HA2 9EU,Website not found,Website not found,JOYINFOTECH
373706,AVERY ACCIDENT REPAIR SPECIALISTS LTD,SO40 2NA,http://www.woopzavery.com/,http://www.woopzavery.com/,AVERY ACCIDENT REPAIR SPECIALISTS
3828825,TRIGGERBUDDY LTD,SW19 2RR,Website not found,Website not found,TRIGGERBUDDY
1729455,HN FOODS LIMITED,AL1 3RD,Website not found,Website not found,HN FOODS
3027783,R. BROCKIE (CONTRACTING) LIMITED,EH45 8PP,Website not found,Website not found,R. BROCKIE (CONTRACTING)
3977745,WALTON PARK SPORTS CENTRE LIMITED,M33 4AG,http://www.wpifc.org.uk/,http://www.wpifc.org.uk/,WALTON PARK SPORTS CENTRE
737880,CENTRALIS LIMITED,EC4N 6EU,Website not found,http://www.centralis.co.uk/,CENTRALIS
3135206,RIVERPLACE HOMES LIMITED,HA1 1BQ,Website not found,Website not found,RIVERPLACE HOMES
3203400,S & I PROPERTIES LIMITED,BT70 1SS,Website not found,Website not found,S & I PROPERTIES
3848423,TURNAIR SERVICES LTD,LU5 6LZ,http://www.turnairservices.org.uk/,http://www.turnairservices.org.uk/,TURNAIR SERVICES
562272,BOYLEMAN & CO. LTD,N1 9LQ,Website not found,Website not found,BOYLEMAN & CO.
