,name,postcode,website,website_2,name_stripped,website_3,website_4
3029309,R.B.W. DEVELOPMENTS LTD.,TQ14 8DP,Website not found,Website not found,rbwdevelopments,Website not found,Website not found
2670409,NOUVEAU'RA APPAREL LIMITED,UB4 0RA,Website not found,Website not found,nouveauraapparel,Website not found,Website not found
2475224,MIMI PARIS HOPPE LIMITED,RG27 9NN,Website not found,Website not found,mimiparishoppe,Website not found,Website not found
3008042,QUATRO HQ LIMITED,NG18 4FY,Website not found,Website not found,quatrohq,Website not found,Website not found
965152,CW 10 PARK DRIVE LIMITED,E14 5AB,Website not found,Website not found,cw10parkdrive,Website not found,Website not found
2269669,LRW SUPPLIES LIMITED,LS12 3SS,Website not found,Website not found,lrwsupplies,Website not found,Website not found
2968399,PROLOGUE MEDIA LIMITED,RG29 1PD,Website not found,Website not found,prologuemedia,Website not found,Website not found
976549,D J PALFREY SERVICES LTD,RM7 8AU,Website not found,Website not found,djpalfreyservices,Website not found,Website not found
3036941,RADIANT CLINICS LIMITED,L40 0SD,http://www.radiantskinclinic.co.uk/,http://www.radiantliving.co.uk/,radiantclinics,Website not found,http://www.radiantliving.co.uk/
977514,D M D BUILDING & ROOFING SERVICES LTD,NR2 4TW,Website not found,Website not found,dmdbuildingroofingservices,Website not found,Website not found
472531,BERKUT IMPEX LP,ML11 0QW,Website not found,Website not found,berkutimpex,Website not found,Website not found
1884158,IT PROJECTIONS LIMITED,LS3 1BQ,Website not found,Website not found,itprojections,Website not found,http://www.propertyprojections.co.uk/
839892,CNK CONSULTANCY LIMITED,KT3 6DQ,Website not found,Website not found,cnkconsultancy,Website not found,Website not found
420351,BARKLEY ADVISORY LIMITED,SG4 0TW,Website not found,Website not found,barkleyadvisory,Website not found,Website not found
621585,BUILDVALE LIMITED,FK6 6QY,http://www.buildvale.co.uk/,http://www.buildvale.co.uk/,buildvale,Website not found,Website not found
1696836,HENNIE PENNY'S CHICKEN (CLECKHEATON) LIMITED,BD19 3TT,http://www.henniepennyschicken.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google%20places,http://www.henniepennyschicken.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google%20places,henniepennyschickencleckheaton,http://www.henniepennyschicken.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google%20places,http://www.henniepennyschicken.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=google%20places
2481191,MIR POINT LIMITED,SE2 9PJ,Website not found,Website not found,mirpoint,Website not found,Website not found
3628014,TEH INTERNETS LIMITED,IV2 5GJ,Website not found,Website not found,tehinternets,Website not found,Website not found
3361946,SINA UZ LTD,M4 6AG,Website not found,Website not found,sinauz,Website not found,Website not found
2169399,LEAMORE HOLDINGS LIMITED,WS2 7QZ,Website not found,Website not found,leamoreholdings,Website not found,Website not found
743458,CFHX LIMITED,LE15 6QQ,Website not found,Website not found,cfhx,Website not found,Website not found
1995280,JOYINFOTECH LIMITED,HA2 9EU,Website not found,Website not found,joyinfotech,Website not found,Website not found
373706,AVERY ACCIDENT REPAIR SPECIALISTS LTD,SO40 2NA,http://www.woopzavery.com/,http://www.woopzavery.com/,averyaccidentrepairspecialists,Website not found,Website not found
3828825,TRIGGERBUDDY LTD,SW19 2RR,Website not found,Website not found,triggerbuddy,Website not found,Website not found
1729455,HN FOODS LIMITED,AL1 3RD,Website not found,Website not found,hnfoods,Website not found,Website not found
3027783,R. BROCKIE (CONTRACTING) LIMITED,EH45 8PP,Website not found,Website not found,rbrockiecontracting,Website not found,Website not found
3977745,WALTON PARK SPORTS CENTRE LIMITED,M33 4AG,http://www.wpifc.org.uk/,http://www.wpifc.org.uk/,waltonparksportscentre,http://www.wpifc.org.uk/,http://www.wpifc.org.uk/
737880,CENTRALIS LIMITED,EC4N 6EU,Website not found,http://www.centralis.co.uk/,centralis,http://www.centralis.co.uk/,http://www.centralis.co.uk/
3135206,RIVERPLACE HOMES LIMITED,HA1 1BQ,Website not found,Website not found,riverplacehomes,Website not found,Website not found
3203400,S & I PROPERTIES LIMITED,BT70 1SS,Website not found,Website not found,siproperties,Website not found,Website not found
3848423,TURNAIR SERVICES LTD,LU5 6LZ,http://www.turnairservices.org.uk/,http://www.turnairservices.org.uk/,turnairservices,http://www.turnairservices.org.uk/,http://www.turnairservices.org.uk/
562272,BOYLEMAN & CO. LTD,N1 9LQ,Website not found,Website not found,boylemanco,Website not found,Website not found
1837754,INHERTS DESIGN LIMITED,AL9 7NZ,Website not found,Website not found,inhertsdesign,Website not found,Website not found
443061,BEACON FINANCIAL MANAGEMENT LTD.,N18 2UL,Website not found,Website not found,beaconfinancialmanagement,Website not found,Website not found
3846499,TUMBLE TOWN PLAY CENTRE LIMITED,NG5 7DS,http://tumbletownplaycentre.co.uk/,http://tumbletownplaycentre.co.uk/,tumbletownplaycentre,http://tumbletownplaycentre.co.uk/,http://tumbletownplaycentre.co.uk/
2358377,MARINER COMMUNICATIONS LIMITED,BN1 6SB,Website not found,Website not found,marinercommunications,Website not found,Website not found
1573975,GRANITE BUILDING COMPANY LIMITED,LE12 7TZ,Website not found,Website not found,granitebuildingcompany,Website not found,Website not found
2636770,NII NOI CREATIVE SOLUTIONS LTD,RM12 5AJ,Website not found,Website not found,niinoicreativesolutions,Website not found,Website not found
809893,CLARA'S SHOP LIMITED,YO21 3NR,Website not found,Website not found,clarasshop,Website not found,Website not found
2126612,L&K MEDI-REC COLLATIVE SERVICES LTD,CW8 4TE,Website not found,Website not found,lkmedireccollativeservices,Website not found,Website not found
3900817,UTTA TRADING LTD,N1 7GU,Website not found,Website not found,uttatrading,Website not found,Website not found
1761396,"HOXTON VENTURES II, C.V. L.P.",EH3 9WJ,Website not found,Website not found,hoxtonventuresiicvlp,Website not found,Website not found
3436560,SOVEREIGN LOANS LIMITED,SE5 8RS,Website not found,Website not found,sovereignloans,Website not found,Website not found
3410766,SOFTWARE TESTING CONSULTANTS LTD,DH9 8TQ,Website not found,Website not found,softwaretestingconsultants,Website not found,Website not found
412819,BANDA SPORTSWEAR LIMITED,NR16 1EY,Website not found,Website not found,bandasportswear,Website not found,Website not found
982307,D-CIPHER SOFTWARE LIMITED,PR2 9LY,Website not found,Website not found,dciphersoftware,Website not found,Website not found
